# 补充IP列表 - 原文件: 新疆电信.txt
# 生成时间: 2026-05-28 17:16:21
# 格式: C-D,rtp://A.B.C.D:端口

# ===== 网段: 238.125.0.x =====
# 已有IP: 113 个, 缺失IP: 141 个
# 规律: 固定端口 5140

4-163,rtp://238.125.4.163:5140
4-164,rtp://238.125.4.164:5140
4-165,rtp://238.125.4.165:5140
4-166,rtp://238.125.4.166:5140
4-167,rtp://238.125.4.167:5140
4-168,rtp://238.125.4.168:5140
4-169,rtp://238.125.4.169:5140
4-170,rtp://238.125.4.170:5140
4-171,rtp://238.125.4.171:5140
4-172,rtp://238.125.4.172:5140
4-173,rtp://238.125.4.173:5140
4-174,rtp://238.125.4.174:5140
4-175,rtp://238.125.4.175:5140
4-176,rtp://238.125.4.176:5140
4-177,rtp://238.125.4.177:5140
4-178,rtp://238.125.4.178:5140
4-179,rtp://238.125.4.179:5140
4-180,rtp://238.125.4.180:5140
4-181,rtp://238.125.4.181:5140
